From,To,weight
Chapter 1,Chapter 2,1
Chapter 1,Chapter 4,1
Chapter 1,Chapter 5,4
Chapter 1,Chapter 6,2
Chapter 1,Chapter 7,4
Chapter 1,Chapter 8,3
Chapter 1,Chapter 9,2
Chapter 1,Chapter 10,2
Chapter 1,Chapter 11,2
Chapter 1,Chapter 12,2
Chapter 1,Chapter 13,2
Chapter 1,Chapter 14,2
Chapter 1,Chapter 15,3
Chapter 1,Chapter 16,4
Chapter 1,Chapter 17,4
Chapter 1,Chapter 18,3
Chapter 1,Chapter 19,5
Chapter 1,Chapter 20,5
Chapter 1,Chapter 21,5
Chapter 1,Chapter 22,2
Chapter 1,Chapter 23,4
Chapter 1,Chapter 24,5
Chapter 1,Chapter 25,4
Chapter 1,Chapter 26,2
Chapter 1,Chapter 27,5
Chapter 1,Chapter 28,4
Chapter 1,Chapter 29,6
Chapter 1,Chapter 30,4
Chapter 1,Chapter 31,5
Chapter 1,Chapter 32,5
Chapter 1,Chapter 33,3
Chapter 1,Chapter 34,3
Chapter 1,Chapter 35,4
Chapter 1,Chapter 36,5
Chapter 1,Chapter 37,4
Chapter 1,Chapter 38,5
Chapter 1,Chapter 39,2
Chapter 1,Chapter 40,2
Chapter 1,Chapter 41,4
Chapter 1,Chapter 42,3
Chapter 1,Chapter 43,3
Chapter 1,Chapter 44,2
Chapter 1,Chapter 45,3
Chapter 1,Chapter 46,4
Chapter 1,Chapter 47,2
Chapter 1,Chapter 48,4
Chapter 1,Chapter 49,4
Chapter 1,Chapter 50,5
Chapter 1,Chapter 51,4
Chapter 1,Chapter 52,5
Chapter 1,Chapter 53,1
Chapter 1,Chapter 54,3
Chapter 1,Chapter 55,2
Chapter 1,Chapter 56,4
Chapter 1,Chapter 57,4
Chapter 1,Chapter 58,5
Chapter 1,Chapter 59,2
Chapter 1,Chapter 60,2
Chapter 1,Chapter 61,3
Chapter 1,Chapter 62,4
Chapter 1,Chapter 63,5
Chapter 1,Chapter 64,5
Chapter 1,Chapter 65,3
Chapter 1,Chapter 66,3
Chapter 1,Chapter 67,3
Chapter 2,Chapter 4,2
Chapter 2,Chapter 5,2
Chapter 2,Chapter 6,2
