Character,Words_LOTR1,Words_LOTR2,Words_LOTR3,Total_words,Sent_LOTR1,Sent_LOTR2,Sent_LOTR3,Avg_sent
HOBBIT,13.0,0.0,3.0,16.0,0.5625,0.0,0.0,0.45703125
ROSIE,3.0,0.0,2.0,5.0,0.3541666666666667,0.0,0.0,0.2125
GAFFER,16.0,0.0,0.0,16.0,0.10714285714285714,0.0,0.0,0.10714285714285714
BILBO,541.0,0.0,31.0,572.0,0.06716417910447761,0.0,-0.05357142857142857,0.06062081575141277
PIPPIN,107.0,185.0,329.0,621.0,0.125,0.06716417910447761,0.03066914498141264,0.05779472114849134
STRIDER,144.0,0.0,0.0,144.0,0.05196629213483146,0.0,0.0,0.05196629213483146
BOROMIR,157.0,67.0,0.0,224.0,0.03879310344827586,0.046052631578947366,0.0,0.04096448016593207
MERRY,108.0,194.0,202.0,504.0,0.046052631578947366,0.058394160583941604,0.016566265060240965,0.038985192273769176
GOLLUM,7.0,451.0,288.0,746.0,0.625,0.03289473684210526,0.03316326530612245,0.03855435217688035
GATEKEEPER,26.0,0.0,0.0,26.0,0.032407407407407406,0.0,0.0,0.032407407407407406
BARLIMAN,56.0,0.0,0.0,56.0,0.02662907268170426,0.0,0.0,0.02662907268170426
CHILDREN HOBBITS,8.0,0.0,0.0,8.0,0.023313492063492064,0.0,0.0,0.023313492063492064
FRODO,223.0,312.0,332.0,867.0,0.06,0.020047169811320754,-0.0044964028776978415,0.020924926442602527
HALDIR,25.0,3.0,0.0,28.0,0.021341463414634148,0.0,0.0,0.019054878048780487
GANDALF,516.0,449.0,741.0,1706.0,0.058394160583941604,-0.004270186335403727,0.0027089783281733747,0.017714786716233333
ARWEN,97.0,69.0,42.0,208.0,0.025,0.022058823529411766,-0.02027027027027027,0.014883209000856061
MRS BRACEGIRDLE,1.0,0.0,0.0,1.0,0.014547413793103448,0.0,0.0,0.014547413793103448
NOAKES,6.0,0.0,0.0,6.0,0.013020833333333334,0.0,0.0,0.013020833333333334
ARAGORN,104.0,377.0,290.0,771.0,0.03289473684210526,0.010330578512396695,0.006885593220338983,0.012078473105902472
GIMLI,123.0,250.0,172.0,545.0,0.032579787234042555,0.014705882352941176,-0.009683098591549295,0.011042736624359723
CROWD,2.0,2.0,0.0,4.0,0.022058823529411766,0.0,0.0,0.011029411764705883
SAM,109.0,540.0,463.0,1112.0,0.009210526315789473,0.02662907268170426,-0.006944444444444444,0.010942777732701055
SANDYMAN,22.0,0.0,0.0,22.0,0.010330578512396695,0.0,0.0,0.010330578512396695
ORC,11.0,31.0,82.0,124.0,0.15625,-0.06818181818181818,0.01232394366197183,0.004965137231010699
GALADRIEL,227.0,15.0,28.0,270.0,0.0,0.0,0.015625,0.0016203703703703703
FARMER MAGGOT,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
SAURON,11.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0
ELROND,91.0,107.0,124.0,322.0,0.0,-0.013888888888888888,0.00375,-0.0031711525189786053
LEGOLAS,31.0,90.0,128.0,249.0,0.020047169811320754,0.032407407407407406,-0.04449152542372881,-0.008661792463532844
SARUMAN,47.0,148.0,134.0,329.0,0.0,0.009210526315789473,-0.035256410256410256,-0.010216416655386421
