From,To,weight
Frodo,Elrond,28
Frodo,Gandalf,47
Frodo,Saruman,21
Frodo,Theoden,10
Frodo,Sauron,29
Elrond,Gandalf,32
Elrond,Saruman,15
Elrond,Theoden,10
Elrond,Sauron,22
Gandalf,Saruman,28
Gandalf,Theoden,18
Gandalf,Sauron,30
Saruman,Theoden,15
Saruman,Sauron,18
Theoden,Sauron,10
Frodo,Bilbo,37
Meriadoc Brandybuck,Meriadoc Brandybuck,1
Aragorn,Arwen,7
Aragorn,Bilbo,21
Aragorn,Celeborn,6
Aragorn,Faramir,11
Aragorn,Galadriel,17
Aragorn,Sam,28
Aragorn,Gollum,12
Aragorn,Sauron,26
Arwen,Bilbo,5
Arwen,Celeborn,4
Arwen,Faramir,3
Arwen,Galadriel,4
Arwen,Sam,5
Arwen,Gollum,1
Arwen,Sauron,4
Frodo,Celeborn,7
Frodo,Faramir,16
Frodo,Galadriel,19
Frodo,Sam,48
Frodo,Gollum,22
Bilbo,Celeborn,5
Bilbo,Faramir,8
Bilbo,Galadriel,13
Bilbo,Sam,33
Bilbo,Gollum,14
Bilbo,Sauron,19
Celeborn,Faramir,3
Celeborn,Galadriel,7
Celeborn,Sam,6
Celeborn,Gollum,1
Celeborn,Sauron,6
Elrond,Faramir,10
Elrond,Galadriel,15
Elrond,Sam,26
Elrond,Gollum,10
Faramir,Galadriel,10
Faramir,Sam,13
Faramir,Gollum,12
Faramir,Sauron,11
Galadriel,Sam,18
Galadriel,Gollum,9
Galadriel,Sauron,16
Sam,Gollum,20
Sam,Sauron,27
Gandalf,Gollum,16
Gollum,Sauron,15
Frodo,Melilot Brandybuck,1
Frodo,Noakes,1
Frodo,Odo Proudfoot,1
Frodo,Sancho Proudfoot,1
Frodo,Everard Took,1
Frodo,Daddy Twofoot,1
Bilbo,Melilot Brandybuck,1
Bilbo,Noakes,1
Bilbo,Odo Proudfoot,1
Bilbo,Sancho Proudfoot,1
Bilbo,Everard Took,1
Bilbo,Daddy Twofoot,1
Melilot Brandybuck,Noakes,1
Melilot Brandybuck,Odo Proudfoot,1
Melilot Brandybuck,Sancho Proudfoot,1
Melilot Brandybuck,Everard Took,1
Melilot Brandybuck,Daddy Twofoot,1
Sam,Noakes,1
Sam,Odo Proudfoot,1
Sam,Sancho Proudfoot,1
Sam,Everard Took,1
Sam,Daddy Twofoot,1
Gandalf,Noakes,1
Gandalf,Odo Proudfoot,1
Gandalf,Sancho Proudfoot,1
Gandalf,Everard Took,1
Gandalf,Daddy Twofoot,1
Gollum,Noakes,1
Gollum,Odo Proudfoot,1
Gollum,Sancho Proudfoot,1
Gollum,Everard Took,1
Gollum,Daddy Twofoot,1
Noakes,Odo Proudfoot,1
Noakes,Sancho Proudfoot,1
Noakes,Everard Took,1
Noakes,Daddy Twofoot,1
Odo Proudfoot,Sancho Proudfoot,1
Odo Proudfoot,Everard Took,1
Odo Proudfoot,Daddy Twofoot,1
Sancho Proudfoot,Everard Took,1
Sancho Proudfoot,Daddy Twofoot,1
Everard Took,Daddy Twofoot,1
Aragorn,Folco Boffin,1
Aragorn,Fredegar Bolger,1
Aragorn,Ted Sandyman,3
Aragorn,Peregrin Took,5
Frodo,Folco Boffin,2
Frodo,Fredegar Bolger,3
Frodo,Ted Sandyman,4
Frodo,Peregrin Took,6
Bilbo,Folco Boffin,2
Bilbo,Fredegar Bolger,3
Bilbo,Ted Sandyman,4
Bilbo,Peregrin Took,6
Folco Boffin,Fredegar Bolger,2
Folco Boffin,Ted Sandyman,1
Folco Boffin,Peregrin Took,1
Folco Boffin,Sauron,1
Fredegar Bolger,Ted Sandyman,1
Fredegar Bolger,Peregrin Took,1
Fredegar Bolger,Sauron,1
Sam,Ted Sandyman,4
Sam,Peregrin Took,7
Gandalf,Ted Sandyman,4
Gandalf,Peregrin Took,7
Gollum,Ted Sandyman,1
Gollum,Peregrin Took,2
Ted Sandyman,Peregrin Took,1
Ted Sandyman,Sauron,2
Saruman,Peregrin Took,6
Peregrin Took,Sauron,5
Frodo,Gildor Inglorion,1
Bilbo,Gildor Inglorion,1
Folco Boffin,Gildor Inglorion,1
Fredegar Bolger,Gildor Inglorion,1
Elrond,Gildor Inglorion,1
Sam,Gildor Inglorion,1
Gandalf,Gildor Inglorion,1
Frodo,Maggot,4
Bilbo,Maggot,4
Sam,Maggot,3
Gandalf,Maggot,4
Frodo,Tom Bombadil,6
Frodo,Goldberry,3
Frodo,Willow,2
Tom Bombadil,Goldberry,3
Tom Bombadil,Willow,2
Sam,Goldberry,3
Sam,Willow,2
Gandalf,Goldberry,3
Gandalf,Willow,2
Goldberry,Willow,2
Bilbo,Willow,1
Tom Bombadil,Maggot,1
Goldberry,Maggot,1
Maggot,Willow,1
Frodo,Bob,3
Frodo,Barliman Butterbur,1
Frodo,Nob,6
Frodo,Will Whitfoot,3
Bilbo,Bob,2
Bilbo,Barliman Butterbur,1
Bilbo,Nob,5
Bilbo,Will Whitfoot,3
Bob,Barliman Butterbur,1
Bob,Nob,3
Bob,Will Whitfoot,1
Tom Bombadil,Barliman Butterbur,1
Tom Bombadil,Nob,3
Tom Bombadil,Will Whitfoot,1
Barliman Butterbur,Nob,1
Barliman Butterbur,Will Whitfoot,1
Sam,Nob,6
Sam,Will Whitfoot,3
Gandalf,Nob,5
Gandalf,Will Whitfoot,3
Nob,Will Whitfoot,1
Aragorn,Bill Ferny,3
Frodo,Bill Ferny,6
Bilbo,Bill Ferny,5
Elrond,Bill Ferny,4
Bob,Bill Ferny,2
Bob,Sauron,1
Tom Bombadil,Bill Ferny,1
Tom Bombadil,Sauron,2
Bill Ferny,Sauron,2
Nob,Sauron,3
Aragorn,Asfaloth,1
Aragorn,Glorfindel,5
Asfaloth,Glorfindel,1
Asfaloth,Sauron,1
Frodo,Glorfindel,5
Bilbo,Glorfindel,5
Elrond,Glorfindel,5
Bill Ferny,Glorfindel,2
Sam,Glorfindel,4
Gandalf,Glorfindel,5
Glorfindel,Sauron,4
Aragorn,Beorn,4
Aragorn,Dain,4
Aragorn,Elladan and Elrohir,4
Aragorn,Grimbeorn,1
Aragorn,Lindir,1
Arwen,Beorn,2
Arwen,Dain,2
Arwen,Elladan and Elrohir,2
Arwen,Grimbeorn,1
Arwen,Lindir,1
Frodo,Beorn,4
Frodo,Dain,4
Frodo,Elladan and Elrohir,2
Frodo,Grimbeorn,1
Frodo,Lindir,1
Beorn,Dain,1
Beorn,Elladan and Elrohir,1
Beorn,Grimbeorn,1
Beorn,Lindir,1
Bilbo,Dain,4
Bilbo,Elladan and Elrohir,2
Bilbo,Grimbeorn,1
Bilbo,Lindir,1
Dain,Elladan and Elrohir,1
Dain,Grimbeorn,1
Dain,Lindir,1
Elladan and Elrohir,Grimbeorn,1
Elladan and Elrohir,Lindir,1
Elrond,Grimbeorn,1
Elrond,Lindir,1
Bill Ferny,Grimbeorn,1
Bill Ferny,Lindir,1
Sam,Grimbeorn,1
Sam,Lindir,1
Gandalf,Grimbeorn,1
Gandalf,Lindir,1
Glorfindel,Grimbeorn,1
Glorfindel,Lindir,1
Grimbeorn,Lindir,1
Aragorn,Boromir,19
Aragorn,Cirdan,1
Aragorn,Denethor,15
Aragorn,Erestor,2
Aragorn,Galdor,1
Aragorn,Gimli,27
Aragorn,Gwaihir,4
Aragorn,Hurin,3
Aragorn,Legolas,25
Aragorn,Radagast,2
Aragorn,Thranduil,3
Frodo,Boromir,19
Frodo,Cirdan,1
Frodo,Denethor,11
Frodo,Erestor,2
Frodo,Galdor,1
Frodo,Gimli,19
Frodo,Gwaihir,4
Frodo,Hurin,2
Frodo,Legolas,18
Frodo,Radagast,2
Frodo,Thranduil,3
